Predictor,Coefficient
(Intercept)  ,-0.234091865
FEMALE       ,-0.549550008
AGE_18_34    ,-3.092153908
AGE_35_44    ,-2.306790039
AGE_45_54    ,-1.293123814
AGE_55_64    ,-0.701829287
AGE_65_74    ,1.218563846
AGE_75_84    ,2.110724486
AGE_85PLUS   ,3.011299364
fELIX1       ,0.334148419
fELIX2       ,-0.166121898
fELIX3       ,-0.055879007
fELIX4       ,0.160383769
fELIX5       , .           
fELIX6       ,-0.791175387
fELIX7       ,-0.46751753
fELIX8       ,0.304940231
fELIX9       ,0.66946945
fELIX10      , .           
fELIX11      ,0.205726829
fELIX12      ,0.091267087
fELIX13      ,-0.078375066
fELIX14      ,0.288758952
fELIX15      ,0.119406614
fELIX16      , .           
fELIX17      , .           
fELIX18      ,0.412037154
fELIX19      ,1.468048046
fELIX20      ,0.659477646
fELIX21      ,0.057466943
fELIX22      ,0.201276308
fELIX23      ,0.179325649
fELIX24      ,0.421397346
fELIX25      ,0.333466203
fELIX26      , .           
fELIX27      , .           
fELIX28      ,0.415846284
fELIX29      ,0.504906034
fELIX30      ,0.365728222
fELIX31      , .           
fCCI1        ,0.318920726
fCCI2        ,-0.237720863
fCCI3        ,-0.37150246
fCCI4        ,0.314047524
fCCI5        ,0.347884944
fCCI6        ,-0.249275975
fCCI7        ,0.904278604
fCCI8        ,0.275967985
fCCI9        ,-0.16240938
fCCI10       ,-0.180790112
fCCI11       ,-0.605175773
fCCI12       ,-0.212494204
fCCI13       ,-0.29249772
fCCI14       ,-0.000471074
fCCI15       ,0.28388793
fCCI16       ,0.225959162
fCCI17       ,0.175499937
fCCI18       ,-0.319255301
MEDICARE     ,2.387490625
REGION2      ,0.143199776
REGION3      ,0.004824397
REGION4      ,0.271820499
REGION5      , .           
fHOSPICE     ,1.909184677
fER          ,1.062840348
fIP          ,1.023308906
ELIX_SCORE   ,0.044503584
DISENR_MON2  ,-0.079472497
DISENR_MON3  ,-0.168739229
DISENR_MON4  ,-0.259873496
DISENR_MON5  ,-0.379815228
DISENR_MON6  ,-0.594732374
DISENR_MON7  ,-0.704731299
DISENR_MON8  ,-0.600544512
DISENR_MON9  ,-0.709383762
DISENR_MON10 ,-0.643383176
DISENR_MON11 ,-0.617825599
DISENR_MON12 ,-3.516693625
OBAMACARE    ,-0.582981798
ICDVER_10    ,-0.89906073
